,ROW,SCHOOL_NO,Fire_Risk_Category_2023_24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District,X,Y
498,499,1386,CAT 4,Lethbridge Primary School,Government,2 Stephenson Street,Lethbridge,Golden Plains,Central,144.13456,-37.96906
499,500,2963,CAT 4,Lindenow South Primary School,Government,607 Lindenow-Glenaladale Road,Lindenow South,East Gippsland,East Gippsland,147.4339,-37.82694
500,501,2221,CAT 4,Lisieux Catholic Primary School,Catholic,90 South Beach Road,Torquay North,Surf Coast,Central,144.33228,-38.30332
501,502,1293,CAT 4,Lismore Primary School,Government,77 William Street,Lismore,Corangamite,South West,143.3393,-37.9546
502,503,1961,CAT 4,Little River Primary School,Government,21 Flinders Street,Little River,Wyndham,Central,144.50037,-37.96501
503,504,2382,CAT 4,Hazelwood North Primary School,Government,121 Church Road,Hazelwood North,Latrobe,West and South Gippsland,146.44768,-38.26819
504,505,2912,CAT 4,Loch Primary School,Government,2 Victoria Road,Loch,South Gippsland,West and South Gippsland,145.70295,-38.36862
505,506,6233,CAT 4,Lockington Consolidated School,Government,20 Burns Street,Lockington,Campaspe,Northern Country,144.53664,-36.26577
506,507,5079,CAT 4,Baringa Special School,Government,47 Staff Street,Moe,Latrobe,West and South Gippsland,146.2572,-38.19174
507,508,2234,CAT 4,Lyrebird College,Independent,5/12 Kelso Street ,COLDSTREAM,Yarra Ranges,Central,145.38227,-37.73304
508,509,2243,CAT 4,Lysterfield Lake College,Independent,20 ABeckett Road ,NARRE WARREN NORTH,Casey,Central,145.31604,-37.97748
509,510,2271,CAT 4,Magpie Primary School,Government,61 Docwra Street,Magpie,Ballarat,Central,143.84327,-37.61571
510,511,1935,CAT 4,Mansfield Autism Statewide Services - Main Campus,Independent,81 Highett Street,Mansfield,Mansfield,North East,146.08586,-37.0608
511,512,1895,CAT 4,Mansfield Rudolf Steiner School,Independent,91 Highett Street,Mansfield,Mansfield,North East,146.08574,-37.0614
512,513,8010,CAT 4,Mansfield Secondary College,Government,15 View Street,Mansfield,Mansfield,North East,146.08856,-37.06268
513,514,1903,CAT 4,Mary MacKillop Catholic Regional College,Catholic,115 Horn Street,Leongatha,South Gippsland,West and South Gippsland,145.96354,-38.46673
514,515,5420,CAT 4,Meeniyan Primary School,Government,6 Geale Street,Meeniyan,South Gippsland,West and South Gippsland,146.01518,-38.57934
515,516,1706,CAT 4,Melbourne Rudolf Steiner School,Independent,213 Wonga Road,Warranwood,Maroondah,Central,145.57208,-36.75596
516,517,1420,CAT 4,Meredith Primary School,Government,5 Wallace Street,Meredith,Golden Plains,Central,144.07781,-37.84271
517,518,5277,CAT 4,Merri River School,Government,1 Goodall Street,Warrnambool,Warrnambool,South West,142.48177,-38.35498
518,519,1874,CAT 4,Merrigum Primary School,Government,Judd Avenue,Merrigum,Greater Shepparton,Northern Country,145.12966,-36.36932
519,520,1051,CAT 4,Mickleham Primary School,Government,1880 Mickleham Road,Mickleham,Hume,Central,144.87655,-37.5635
520,521,737,CAT 4,Milawa Primary School,Government,133 Milawa-Bobinawarrah Road,Milawa,Wangaratta,North East,146.43248,-36.44454
521,522,1739,CAT 4,Miners Rest Primary School,Government,Dundas Street,Miners Rest,Ballarat,Central,143.7947,-37.47788
522,523,2167,CAT 4,Minyip Primary School,Government,21 Main Street,Minyip,Yarriambiack,Wimmera,142.5841,-36.46271
523,524,5571,CAT 4,Mirripoa Primary School,Government,80 Unity Drive,Mount Duneed,Greater Geelong,Central,144.32848,-38.22492
524,525,8809,CAT 4,Monterey Secondary College,Government,Silvertop Street,Frankston North,Frankston,Central,145.14772,-38.12612
525,526,1683,CAT 4,Moonambel Primary School,Government,24 Humffray Street,Moonambel,Pyrenees,South West,143.32074,-36.98986
526,527,2327,CAT 4,Moorooduc Primary School,Government,Cnr Derril Rd & Mornington Tyabb Rd,Moorooduc,Mornington Peninsula,Central,145.10517,-38.24809
527,528,4117,CAT 4,Moriac Primary School,Government,785 Hendy Main Road,Moriac,Surf Coast,Central,144.17557,-38.24139
528,529,2037,CAT 4,Mount Blowhard Primary School,Government,527 Millers Road,Blowhard,Ballarat,Central,143.78644,-37.42924
529,530,5380,CAT 4,Mount Duneed Regional Primary School,Government,90-100 Williams Road,Mount Duneed,Greater Geelong,Central,144.31968,-38.24124
530,531,7028,CAT 4,Mount Erin Secondary College - Frankston Campus,Government,43 Robinsons Road,Frankston South,Frankston,Central,145.14663,-38.17412
531,532,8828,CAT 4,Mount Rowan Secondary College - Mount Rowan Campus,Government,457 Forest Street,Wendouree,Ballarat,Central,143.83447,-37.51922
532,533,1635,CAT 4,Mount St Joseph Girls' College,Catholic,133 Maidstone Street,Altona,Hobsons Bay,Central,144.81167,-37.8639
533,534,1335,CAT 4,Moyhu Primary School,Government,2799 Wangaratta-Whitfield Road,Moyhu,Wangaratta,North East,146.38309,-36.59317
534,535,1990,CAT 4,Mt Hira College,Independent,185 Perry Road,Keysborough,Greater Dandenong,Central,145.17547,-38.01399
535,536,1126,CAT 4,Murchison Primary School,Government,8 - 10 Impey Street,Murchison,Greater Shepparton,Northern Country,145.21429,-36.61718
536,537,3859,CAT 4,Murrabit Group School,Government,61 Browning Avenue,Murrabit,Gannawarra,Mallee,143.95075,-35.52884
537,538,1549,CAT 4,Murtoa College,Government,Webb Street,Murtoa,Yarriambiack,Wimmera,142.47574,-36.6235
538,539,487,CAT 4,Myrniong Primary School,Government,13 Muddy Lane,Myrniong,Moorabool,Central,144.34632,-37.61972
539,540,8873,CAT 4,Myrtleford P-12 College,Government,Prince Street,Myrtleford,Alpine,North East,146.72614,-36.54889
540,541,1589,CAT 4,Nagle College,Catholic,20 Hope Avenue,Bairnsdale,East Gippsland,East Gippsland,147.58766,-37.8371
541,542,5395,CAT 4,Nambrok Denison Primary School,Government,947 Sale-Cowwarr Road,Nambrok,Wellington,West and South Gippsland,146.87481,-38.05399
542,543,3708,CAT 4,Nanneella Estate Primary School,Government,159 Bennett Road,Nanneella,Campaspe,Northern Country,144.77804,-36.31297
543,544,1072,CAT 4,Napoleons Primary School,Government,4721 Colac-Ballarat Road,Napoleons,Golden Plains,Central,143.82646,-37.67863
544,545,5382,CAT 4,Narrawong District Primary School,Government,Princes Highway,Narrawong,Glenelg,South West,141.71658,-38.25268
545,546,1548,CAT 4,Natimuk Primary School,Government,38 Old Noradjuha Road,Natimuk,Horsham,Wimmera,141.9505,-36.74124
546,547,1812,CAT 4,Newhaven College - Main Campus,Independent,1770 Phillip Island Road,Rhyll,Bass Coast,Central,145.27232,-38.48834
547,548,3053,CAT 4,Newhaven Primary School,Government,12-22 School Avenue,Newhaven,Bass Coast,Central,145.35686,-38.51315
548,549,453,CAT 4,Newlyn Primary School,Government,2701 Midland Highway,Newlyn,Hepburn,Central,143.98443,-37.41202
549,550,8833,CAT 4,Nhill College,Independent,Whitehead Avenue,Nhill,Hindmarsh,Wimmera,141.65886,-36.3326
550,551,1754,CAT 4,Nhill Lutheran School,Independent,2 Mackay St,Nhill,Hindmarsh,Wimmera,141.66215,-36.32773
551,552,8821,CAT 4,Lowanna College,Government,72-96 Newark Avenue,Newborough,Latrobe,West and South Gippsland,146.28598,-38.17668
552,553,1178,CAT 4,Noorat Primary School,Government,MacKinnon's Bridge Road,Noorat,Corangamite,South West,142.92873,-38.19075
553,554,1770,CAT 4,North-Eastern Montessori School - Plenty Valley International Montessori School,Independent,315 Aqueduct Road,St Helena,Banyule,Central,145.13709,-37.68407
554,555,1652,CAT 4,Nullawarre and District Primary School,Government,132 Henry's Sawmill Road,Nullawarre,Moyne,South West,142.73443,-38.46676
555,556,3401,CAT 4,Nyora Primary School,Government,Grundy Avenue,Nyora,South Gippsland,West and South Gippsland,145.67489,-38.33624
556,557,2742,CAT 4,Officer Primary School,Government,13-23 Tivendale Rd,Officer,Cardinia,Central,145.41018,-38.05828
557,558,8907,CAT 4,Officer Secondary College,Government,1 Parker Street,Officer,Cardinia,Central,145.41097,-38.07202
558,559,5550,CAT 4,Officer Specialist School,Government,3 Parker Street,Officer,Cardinia,Central,145.41131,-38.07079
559,560,4767,CAT 4,Orbost North Primary School,Government,Rupert St,Orbost,East Gippsland,East Gippsland,148.466,-37.69779
560,561,8215,CAT 4,Orbost Secondary College,Government,20 Arnold Street,Orbost,East Gippsland,East Gippsland,148.46635,-37.70411
561,562,2218,CAT 4,Oscar Romero Catholic Primary School,Catholic,1 MacKillop Street,Craigieburn West,Hume,Central,144.8961,-37.58197
562,563,1632,CAT 4,Our Lady Help of Christians School,Catholic,15 Munro Street,Murtoa,Yarriambiack,Wimmera,142.47365,-36.62268
563,564,661,CAT 4,Our Lady of the Sacred Heart Primary,Catholic,32 Jeffrey Street,Elmore,Greater Bendigo,Northern Country,144.61562,-36.49302
564,565,1908,CAT 4,Overnewton Anglican Community College - Keilor Main Campus,Independent,2-50 Overnewton Road,Keilor,Brimbank,Central,144.82318,-37.70656
565,566,1792,CAT 4,Oxley Christian College,Independent,15 - 49 Old Melbourne Rd,Chirnside Park,Yarra Ranges,Central,145.30513,-37.76357
566,567,1399,CAT 4,Oxley Primary School,Government,1050 Wangaratta-Whitfield Road,Oxley,Wangaratta,North East,146.36064,-36.44156
567,568,5527,CAT 4,Pakenham Primary School,Government,50 Atlantic Drive,Pakenham,Cardinia,Central,145.51084,-38.06394
568,569,1079,CAT 4,Panmure Primary School,Government,8759 Princes Highway,Panmure,Moyne,South West,142.73253,-38.32935
569,570,4670,CAT 4,Newborough East Primary School,Government,300 Old Sale Road,Newborough,Latrobe,West and South Gippsland,146.29376,-38.179
570,571,486,CAT 4,Penshurst Primary School,Government,87 Ritchie Street,Penshurst,Southern Grampians,South West,142.29133,-37.87918
571,572,2108,CAT 4,Phillip Island Village School,Independent,479 Berrys Beach Road,Ventnor,Bass Coast,Central,145.2016,-38.50808
572,573,1826,CAT 4,Plenty Valley Christian College - Doreen Campus,Independent,840 Yan Yean Road,Doreen,Nillumbik,Central,145.13879,-37.61346
573,574,6247,CAT 4,Port Fairy Consolidated School,Government,Albert Street,Port Fairy,Moyne,South West,142.22822,-38.38662
574,575,5282,CAT 4,Portland Bay School,Government,77 Henty Street,Portland,Glenelg,South West,141.59756,-38.34633
575,576,1194,CAT 4,Portland North Primary School ,Government,42 School Road,Portland North,Glenelg,South West,141.57233,-38.31764
576,577,4750,CAT 4,Portland South Primary School,Government,133-141 Edgar Street,Portland,Glenelg,South West,141.61062,-38.36527
577,578,1712,CAT 4,Pyramid Hill College,Government,101 Kelly Street,Pyramid Hill,Loddon,Northern Country,144.11368,-36.04736
578,579,2959,CAT 4,Research Primary School,Government,1570 Main Road,Research,Nillumbik,Central,145.18357,-37.70292
579,580,919,CAT 4,Rockbank Primary School,Government,97-105 Westcott Parade,Rockbank,Melton,Central,144.6619,-37.73215
580,581,531,CAT 4,Rokewood Primary School,Government,38 Aitchison Street,Rokewood,Golden Plains,Central,143.72281,-37.90366
581,582,770,CAT 4,Rosedale Primary School,Government,1-23 Cricket Street,Rosedale,Wellington,West and South Gippsland,146.7739,-38.1546
582,583,1595,CAT 4,Rupanyup Primary School,Government,22 Dyer Street,Rupanyup,Yarriambiack,Wimmera,142.62861,-36.63222
583,584,8300,CAT 4,Rutherglen High School,Government,40 Sheridans Bridge Road,Rutherglen,Indigo,North East,146.4521,-36.06256
584,585,5175,CAT 4,Sale and District Specialist School,Government,333 Princes Highway,Sale,Wellington,West and South Gippsland,147.07075,-38.08164
585,586,1299,CAT 4,Salesian College,Catholic,Rupertswood,Sunbury,Hume,Central,144.73903,-37.57264
586,587,4974,CAT 4,Seaford North Primary School,Government,81 Hallifax Street,Seaford,Frankston,Central,145.13361,-38.09016
587,588,1167,CAT 4,Sebastopol Primary School,Government,9 Warreen Street,Sebastopol,Ballarat,Central,143.84472,-37.59643
588,589,1222,CAT 4,Skye Primary School,Government,395 Ballarto Road,Skye,Frankston,Central,145.20124,-38.11771
589,590,1090,CAT 4,Sorrento Primary School,Government,32 Kerferd Avenue,Sorrento,Mornington Peninsula,Central,144.74069,-38.34148
590,591,1859,CAT 4,St Anthony's School,Catholic,90 Kees Road,Lara,Greater Geelong,Central,144.39058,-38.01519
591,592,1646,CAT 4,St Arnaud Primary School,Government,Charlton Road,St Arnaud,Northern Grampians,Wimmera,143.25754,-36.6102
592,593,1779,CAT 4,St Augustine's Primary School,Catholic,Augustine's Way,Keilor,Brimbank,Central,144.82052,-37.71063
593,594,192,CAT 4,St Augustine's School,Catholic,119 Napier Street,Creswick,Hepburn,Central,143.89226,-37.42851
594,595,1808,CAT 4,St Augustine's School,Catholic,80 Golf Links Road,Frankston South,Frankston,Central,145.14587,-38.17205
595,596,212,CAT 4,St Brendan's Primary School,Catholic,1 Ti Tree Road,Dunnstown,Moorabool,Central,143.96603,-37.59116
596,597,1099,CAT 4,St Brendan's School,Catholic,727 Corangamite Lake Road,Coragulac,Colac-Otway,South West,143.5188,-38.27065
597,598,1581,CAT 4,St Brendan's School,Catholic,Golf Links Road,Lakes Entrance,East Gippsland,East Gippsland,148.01234,-37.87102
598,599,2067,CAT 4,St Brigid's School - Main Campus,Catholic,25 Bayview Road,Officer,Cardinia,Central,145.40567,-38.05462
599,600,1015,CAT 4,St James School,Catholic,60 Nar Nar Goon Road,Nar Nar Goon,Cardinia,Central,145.57319,-38.07303
600,601,1813,CAT 4,St John's Lutheran School,Independent,43-55 Trangmar Street,Portland,Glenelg,South West,143.82816,-37.53928
601,602,1109,CAT 4,St John's School,Catholic,263 Russell Street,Dennington,Warrnambool,South West,142.44614,-38.3515
602,603,595,CAT 4,St Joseph's College,Catholic,21 Dickson Street,Echuca,Campaspe,Northern Country,144.74337,-36.11815
603,604,1532,CAT 4,St Joseph's School,Catholic,33 Lascelles Street,Hopetoun,Yarriambiack,Mallee,142.36219,-35.72393
604,605,856,CAT 4,Toongabbie Primary School,Government,Victoria Street,Toongabbie,Latrobe,West and South Gippsland,146.62518,-38.05697
605,606,2242,CAT 4,St Lawrence of Brindisi Catholic Primary School,Catholic,31 Waterway Boulevard ,WEIR VIEWS,Melton ,Central,144.57246,-37.73305
606,607,1510,CAT 4,St Malachy's School,Catholic,34 Lake Street,Edenhope,West Wimmera,Wimmera,141.30005,-37.03403
607,608,161,CAT 4,St Mary's College,Catholic,90 High Street,Seymour,Mitchell,North Central,145.14092,-37.0199
608,609,139,CAT 4,St Mary's School,Catholic,5 Hope Avenue,Bairnsdale,East Gippsland,East Gippsland,147.58563,-37.8414
609,610,1480,CAT 4,St Mary's School,Catholic,131 Powells Road,Clarkes Hill,Moorabool,Central,143.9887,-37.5004
610,611,181,CAT 4,St Mary's School,Catholic,134 Woods Street,Donald,Buloke,Mallee,142.98517,-36.37358
611,612,724,CAT 4,St Mary's School,Catholic,Hillier Lane,Hamilton,Southern Grampians,South West,142.05091,-37.74114
612,613,368,CAT 4,St Mary's School,Catholic,High Street,Rutherglen,Indigo,North East,146.46298,-36.05042
613,614,581,CAT 4,St Mary's School,Catholic,2-8 Campbell Street,Warracknabeal,Yarriambiack,Wimmera,142.3896,-36.25408
614,615,1058,CAT 4,St Mary's School,Catholic,5 Buckley Street,Yarram,Wellington,West and South Gippsland,146.67597,-38.5569
615,616,1524,CAT 4,St Michael's School,Catholic,Davis Street,Heyfield,Wellington,West and South Gippsland,146.78427,-37.98075
616,617,187,CAT 4,St Patrick's School,Catholic,1564 Old Melbourne Road,Gordon,Moorabool,Central,144.0909,-37.58065
617,618,1550,CAT 4,St Patrick's School,Catholic,5 Victoria Street,Pyramid Hill,Loddon,Northern Country,144.11184,-36.05485
618,619,782,CAT 4,St Patrick's School,Catholic,55 Patrick Street,Stawell,Northern Grampians,Wimmera,142.78726,-37.05935
619,620,1301,CAT 4,St Patrick's School,Catholic,2 Merrick Street,Stratford,Wellington,West and South Gippsland,147.07768,-37.96726
620,621,1594,CAT 4,St Patrick's School,Catholic,Mangan Street,Tongala,Campaspe,Northern Country,144.95359,-36.25266
621,622,1655,CAT 4,St Peter Julian Eymard,Catholic,Reay Road,Mooroolbark,Yarra Ranges,Central,145.31752,-37.78791
622,623,1920,CAT 4,St Peter's College,Catholic,1005 Cranbourne-Frankston Road,Cranbourne West,Casey,Central,145.25687,-38.10841
623,624,1901,CAT 4,St Therese School,Catholic,50 Grossmans Road,Torquay,Surf Coast,Central,145.31692,-37.97859
624,625,1966,CAT 4,St Thomas Aquinas College,Independent,1 Tynong Road,Tynong,Cardinia,Central,145.62369,-38.08322
625,626,1963,CAT 4,St Thomas Primary School,Catholic,1-7 Peninsula Drive,Drysdale,Greater Geelong,Central,144.55617,-38.18801
626,627,3937,CAT 4,Stanhope Primary School,Government,48 Midland Highway,Stanhope,Campaspe,Northern Country,144.98802,-36.4481
627,628,8731,CAT 4,Stawell Secondary College,Government,79-97 Patrick Street,Stawell,Northern Grampians,Wimmera,142.78979,-37.06195
628,629,4934,CAT 4,Stawell West Primary School,Government,80-88 Cooper Street,Stawell,Northern Grampians,Wimmera,142.77129,-37.06576
629,630,596,CAT 4,Stratford Primary School,Government,14 Wellsford Street,Stratford,Wellington,West and South Gippsland,147.08539,-37.96725
630,631,2790,CAT 4,Strathmerton Primary School,Government,Findlay Street,Strathmerton,Moira,Northern Country,145.47884,-35.92402
631,632,1365,CAT 4,Tallangatta Primary School,Government,1 Wonga Grove,Tallangatta,Towong,North East,147.1742,-36.2148
632,633,8370,CAT 4,Tallangatta Secondary College,Government,145 Towong Street,Tallangatta,Towong,North East,147.17267,-36.22044
633,634,3067,CAT 4,Tallygaroopna Primary School,Government,24-34 Victoria Street,Tallygaroopna,Greater Shepparton,Northern Country,145.43632,-36.23861
634,635,196,CAT 4,Tarrington Lutheran School,Independent,7901 Hamilton Highway,Tarrington,Southern Grampians,South West,142.09426,-37.76623
635,636,2065,CAT 4,Teesdale Primary School,Government,Main Road,Teesdale,Golden Plains,Central,144.05459,-38.02923
636,637,6236,CAT 4,Terang College - 5-12 Campus,Government,45 Strong Street,Terang,Corangamite,South West,142.92139,-38.24628
637,638,5221,CAT 4,Latrobe Special Developmental School,Government,Hickox Street,Traralgon,Latrobe,West and South Gippsland,146.55136,-38.20403
638,639,2253,CAT 4,Toora Primary School,Government,5 Harriet Street,Toora,South Gippsland,West and South Gippsland,146.32799,-38.66352
639,640,5556,CAT 4,Torquay Coast Primary School,Government,25 Stretton Drive,Torquay,Surf Coast,Central,144.33818,-38.30456
640,641,1150,CAT 4,Trawalla Primary School,Government,11 Trawalla Road,Trawalla,Pyrenees,South West,143.46986,-37.43773
641,642,2225,CAT 4,Tungamah Primary School,Government,15 -17 Tower Street,Tungamah,Moira,Northern Country,145.87947,-36.16131
642,643,5403,CAT 4,Tyrrell College,Government,10 Sutcliff Street,Sea Lake,Buloke,Mallee,142.85352,-35.50928
643,644,2230,CAT 4,Village High School,Independent,450 Dalyston-Glen Forbes Road,Ryanston,Bass Coast,Central,145.55883,-38.52856
644,645,5202,CAT 4,Wallaroo Primary School,Government,Stalwart Avenue,Hastings,Mornington Peninsula,Central,145.17275,-38.29789
645,646,2806,CAT 4,Walwa Primary School,Government,Murray River Road,Walwa,Towong,North East,147.73215,-35.96423
646,647,1334,CAT 4,Warracknabeal Primary School,Government,5 Werrigar Street,Warracknabeal,Yarriambiack,Wimmera,142.39126,-36.25788
647,648,8430,CAT 4,Warracknabeal Secondary College,Government,5 Werrigar Street,Warracknabeal,Yarriambiack,Wimmera,142.3908,-36.25768
648,649,5291,CAT 4,Warracknabeal Special Developmental School,Government,5 Werrigar Street,Warracknabeal,Yarriambiack,Wimmera,142.39075,-36.25761
649,650,1591,CAT 4,Warrenheip Primary School,Government,93 Warrenheip Road,Warrenheip,Ballarat,Central,143.92743,-37.5741
650,651,5396,CAT 4,Welshpool and District Primary School,Government,5960 South Gippsland Highway,Welshpool,South Gippsland,West and South Gippsland,146.43111,-38.66552
651,652,1916,CAT 4,White Hills Primary School,Government,16 Plumridge Street,White Hills,Greater Bendigo,Northern Country,144.30415,-36.72794
652,653,2090,CAT 4,Whittlesea Primary School,Government,2425-2435 Plenty Road,Whittlesea,Whittlesea,Central,145.11405,-37.51427
653,654,1373,CAT 4,Whorouly Primary School,Government,18 Church Street,Whorouly,Wangaratta,North East,146.58665,-36.50544
654,655,2662,CAT 4,Willaura Primary School,Government,14 Warranooke Street,Willaura,Ararat,South West,142.73946,-37.54469
655,656,3479,CAT 4,Willowmavin Primary School,Government,690 Willowmavin Road,Willowmavin,Mitchell,North Central,144.88823,-37.25942
656,657,1870,CAT 4,Winton Primary School,Government,Fox Street,Winton,Benalla,North East,146.08134,-36.51633
657,658,2064,CAT 4,Woodleigh School - Senior Campus,Independent,485 Golf Links Road,Langwarrin South,Frankston,Central,145.17465,-38.1926
658,659,2239,CAT 4,Woodline Primary,Independent,405 Barrabool Road ,CERES,Greater Geelong,Central,144.28535,-38.17178
659,660,8491,CAT 4,Woodmans Hill Secondary College,Government,1 Fussell Street,Ballarat East,Ballarat,Central,143.89228,-37.55912
660,661,688,CAT 4,Woolsthorpe Primary School,Government,12 Manifold Street,Woolsthorpe,Moyne,South West,142.43176,-38.18741
661,662,8831,CAT 4,Wycheproof P-12 College,Government,McKenzie Crescent,Wycheproof,Buloke,Mallee,143.2291,-36.0757
662,663,956,CAT 4,Yarra Glen Primary School,Government,35 Symonds Street,Yarra Glen,Yarra Ranges,Central,145.37241,-37.6497
663,664,8815,CAT 4,Yarra Hills Secondary College - Mooroolbark Campus,Government,16 Reay Road,Mooroolbark,Yarra Ranges,Central,145.31618,-37.78934
664,665,8490,CAT 4,Yarram Secondary College,Government,86 James Street,Yarram,Wellington,West and South Gippsland,146.68541,-38.56743
665,666,2419,CAT 4,Yinnar Primary School,Government,30 Main Street,Yinnar,Latrobe,West and South Gippsland,146.32891,-38.32109
666,667,4359,CAT 4,Zeerust Primary School,Government,245 Zeerust Road,Zeerust,Greater Shepparton,Northern Country,145.40507,-36.2772
