ROW,SCHOOL_NO,Fire_Risk_Category_2023-24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District
444,2724,CAT 4,Garfield Primary School,Government,84 Railway Avenue,Garfield,Cardinia,Central
445,2000,CAT 4,Geelong Baptist College,Independent,590 Anakie Road,Lovely Banks,Greater Geelong,Central
446,3971,CAT 4,Girgarre Primary School,Government,528 Winter Road,Girgarre,Campaspe,Northern Country
447,2062,CAT 4,Community College Gippsland Ltd| ECG Community College,Independent,71 Warragul-Korumburra Road,Warragul,Baw Baw,West and South Gippsland
448,2226,CAT 4,Glowrey Catholic Primary School,Catholic,10 Baltrum Drive,Wollert,Whittlesea,Central
449,1825,CAT 4,Good Shepherd College - Main Campus,Independent,297 Mount Napier Road,Hamilton,Southern Grampians,South West
450,841,CAT 4,St Joseph's School,Catholic,167 Burke Street,Warragul,Baw Baw,West and South Gippsland
451,755,CAT 4,Gordon Primary School,Government,1 Dicker Street,Gordon,Moorabool,Central
452,6223,CAT 4,Goroke P-12 College,Government,55 Natimuk-Frances Road,Goroke,West Wimmera,Wimmera
453,1840,CAT 4,Goulburn Valley Grammar School,Independent,455 Verney Road,Shepparton,Greater Shepparton,Northern Country
454,1886,CAT 4,Grace Christian College Wodonga,Independent,20 Kinchington Road,Leneva,Wodonga,North East
455,5381,CAT 4,Grasmere Primary School,Government,16 Ibbs Lane,Grasmere,Moyne,South West
456,4853,CAT 4,Guthridge Primary School,Government,Dawson Street,Sale,Wellington,West and South Gippsland
457,1076,CAT 4,Haddon Primary School,Government,398 Sago Hill Road,Haddon,Golden Plains,Central
458,2035,CAT 4,Hamilton North Primary School,Government,34 - 50 Andrews Street,Hamilton,Southern Grampians,South West
459,5283,CAT 4,Hamilton Parklands School,Government,15 Kerr Street,Hamilton,Southern Grampians,South West
460,5276,CAT 4,Hampden Specialist School,Government,36 Grayland Street,Cobden,Corangamite,South West
461,2106,CAT 4,Harkaway Hills College,Independent,20 A'Beckett Road,Narre Warren North,Casey,Central
462,1458,CAT 4,Harston Primary School,Government,155 Harston Road,Tatura,Greater Shepparton,Northern Country
463,8816,CAT 4,Heathmont College,Government,Waters Grove,Heathmont,Maroondah,Central
464,2102,CAT 4,Hoa Nghiem Primary School,Independent,442-448 Springvale Road,Springvale South,Greater Dandenong,Central
465,1767,CAT 4,Holy Trinity Lutheran College,Independent,Trinity Drive,Horsham,Horsham,Wimmera
466,8246,CAT 4,Homestead Senior Secondary College,Government,9 Coaching Parade,Point Cook,Wyndham,Central
467,8904,CAT 4,Hopetoun P-12 College,Government,1 Dodgshun Street,Hopetoun,Yarriambiack,Mallee
468,5548,CAT 4,Horsham Primary School - 298 Campus,Government,38 Baillie Street,Horsham,Horsham,Wimmera
469,4697,CAT 4,Horsham West and Haven Primary School - Horsham West Campus,Government,24 Hillary Street,Horsham,Horsham,Wimmera
470,2052,CAT 4,Hume Anglican Grammar - Mount Ridley Homestead Campus,Independent,100 Mount Ridley Road,Mickleham,Hume,Central
471,5117,CAT 4,Churchill North Primary School,Government,Blackwood Crescent,Churchill,Latrobe,West and South Gippsland
472,1147,CAT 4,Inverleigh Primary School,Government,54 High Street,Inverleigh,Golden Plains,Central
473,2988,CAT 4,Jeparit Primary School,Government,Sands Avenue,Jeparit,Hindmarsh,Wimmera
474,8842,CAT 4,Kaniva College,Government,2 Farmers Street,Kaniva,West Wimmera,Wimmera
475,2069,CAT 4,Katamatite Primary School,Government,4 - 6 Currajong Avenue,Katamatite,Moira,Northern Country
476,4401,CAT 4,Katandra West Primary School,Government,17-27 Bankin Street,Katandra West,Greater Shepparton,Northern Country
477,4689,CAT 4,Katunga Primary School,Government,24 CARTER STREET,Katunga,Moira,Northern Country
478,1869,CAT 4,Kerang Christian College,Independent,98 Wyndham Street,Kerang,Gannawarra,Mallee
479,1366,CAT 4,Kialla Central Primary School,Government,128 Central Kialla Road,Kialla,Greater Shepparton,Northern Country
480,1727,CAT 4,Kialla West Primary School,Government,7370 Goulburn Valley Highway,Kialla West,Greater Shepparton,Northern Country
481,6229,CAT 4,Kiewa Valley Primary School,Government,81 Kiewa East Road,Tangambalanga,Indigo,North East
482,1568,CAT 4,Kilmore Primary School,Government,35 Lancefield Road,Kilmore,Mitchell,North Central
483,4990,CAT 4,Knox Park Primary School,Government,Kathryn Road,Knoxfield,Knox,Central
484,3323,CAT 4,Kongwak Primary School,Government,1445 Wonthaggi Korumburra Road,Kongwak,South Gippsland,West and South Gippsland
485,2082,CAT 4,Koonwarra Village School,Independent,20-26 Koala Drive,Koonwarra,South Gippsland,West and South Gippsland
486,618,CAT 4,Koroit And District Primary School,Government,91 Commercial Road,Koroit,Moyne,South West
487,7960,CAT 4,Korumburra Secondary College,Government,125 Jumbunna Road,Korumburra,South Gippsland,West and South Gippsland
488,5182,CAT 4,Kunyung Primary School,Government,50 Kunyung Road,Mount Eliza,Mornington Peninsula,Central
489,5594,CAT 4,Kurrun Primary School,Government,22 Allsburg Avenue ,Officer,Cardinia ,
490,7970,CAT 4,Kyneton High School - Macedon Ranges Satellite VCAL,Government,67 Baynton Street,Kyneton,Macedon Ranges,Central
491,854,CAT 4,Lake Bolac College,Government,90 Montgomery Street,Lake Bolac,Ararat,South West
492,1814,CAT 4,Lancaster Primary School,Government,8 Weller Road,Lancaster,Campaspe,Northern Country
493,2899,CAT 4,Lang Lang Primary School,Government,52 Westernport Road,Lang Lang,Cardinia,Central
494,4885,CAT 4,Lara Primary School,Government,120 Flinders Avenue,Lara,Greater Geelong,Central
495,8841,CAT 4,Lara Secondary College,Government,34 Alkara Avenue,Lara,Greater Geelong,Central
496,2888,CAT 4,Glengarry Primary School,Government,Cairnbrook Road,Glengarry,Latrobe,West and South Gippsland
497,2087,CAT 4,Leitchville Primary School,Government,2-4 Hawken Street,Leitchville,Gannawarra,Mallee
498,8745,CAT 4,Leongatha Secondary College,Government,115 Nerrena Road,Leongatha,South Gippsland,West and South Gippsland
499,1386,CAT 4,Lethbridge Primary School,Government,2 Stephenson Street,Lethbridge,Golden Plains,Central
500,2963,CAT 4,Lindenow South Primary School,Government,607 Lindenow-Glenaladale Road,Lindenow South,East Gippsland,East Gippsland
501,2221,CAT 4,Lisieux Catholic Primary School,Catholic,90 South Beach Road,Torquay North,Surf Coast,Central
502,1293,CAT 4,Lismore Primary School,Government,77 William Street,Lismore,Corangamite,South West
503,1961,CAT 4,Little River Primary School,Government,21 Flinders Street,Little River,Wyndham,Central
504,2382,CAT 4,Hazelwood North Primary School,Government,121 Church Road,Hazelwood North,Latrobe,West and South Gippsland
505,2912,CAT 4,Loch Primary School,Government,2 Victoria Road,Loch,South Gippsland,West and South Gippsland
506,6233,CAT 4,Lockington Consolidated School,Government,20 Burns Street,Lockington,Campaspe,Northern Country
507,5079,CAT 4,Baringa Special School,Government,47 Staff Street,Moe,Latrobe,West and South Gippsland
508,2234,CAT 4,Lyrebird College,Independent,5/12 Kelso Street ,COLDSTREAM,Yarra Ranges,Central
509,2243,CAT 4,Lysterfield Lake College,Independent,20 A’Beckett Road ,NARRE WARREN NORTH,Casey,Central
510,2271,CAT 4,Magpie Primary School,Government,61 Docwra Street,Magpie,Ballarat,Central
511,1935,CAT 4,Mansfield Autism Statewide Services - Main Campus,Independent,81 Highett Street,Mansfield,Mansfield,North East
512,1895,CAT 4,Mansfield Rudolf Steiner School,Independent,91 Highett Street,Mansfield,Mansfield,North East
513,8010,CAT 4,Mansfield Secondary College,Government,15 View Street,Mansfield,Mansfield,North East
514,1903,CAT 4,Mary MacKillop Catholic Regional College,Catholic,115 Horn Street,Leongatha,South Gippsland,West and South Gippsland
515,5420,CAT 4,Meeniyan Primary School,Government,6 Geale Street,Meeniyan,South Gippsland,West and South Gippsland
516,1706,CAT 4,Melbourne Rudolf Steiner School,Independent,213 Wonga Road,Warranwood,Maroondah,Central
517,1420,CAT 4,Meredith Primary School,Government,5 Wallace Street,Meredith,Golden Plains,Central
518,5277,CAT 4,Merri River School,Government,1 Goodall Street,Warrnambool,Warrnambool,South West
519,1874,CAT 4,Merrigum Primary School,Government,Judd Avenue,Merrigum,Greater Shepparton,Northern Country
520,1051,CAT 4,Mickleham Primary School,Government,1880 Mickleham Road,Mickleham,Hume,Central
521,737,CAT 4,Milawa Primary School,Government,133 Milawa-Bobinawarrah Road,Milawa,Wangaratta,North East
522,1739,CAT 4,Miners Rest Primary School,Government,Dundas Street,Miners Rest,Ballarat,Central
523,2167,CAT 4,Minyip Primary School,Government,21 Main Street,Minyip,Yarriambiack,Wimmera
524,5571,CAT 4,Mirripoa Primary School,Government,80 Unity Drive,Mount Duneed,Greater Geelong,Central
525,8809,CAT 4,Monterey Secondary College,Government,Silvertop Street,Frankston North,Frankston,Central
526,1683,CAT 4,Moonambel Primary School,Government,24 Humffray Street,Moonambel,Pyrenees,South West
527,2327,CAT 4,Moorooduc Primary School,Government,Cnr Derril Rd & Mornington Tyabb Rd,Moorooduc,Mornington Peninsula,Central
528,4117,CAT 4,Moriac Primary School,Government,785 Hendy Main Road,Moriac,Surf Coast,Central
529,2037,CAT 4,Mount Blowhard Primary School,Government,527 Millers Road,Blowhard,Ballarat,Central
530,5380,CAT 4,Mount Duneed Regional Primary School,Government,90-100 Williams Road,Mount Duneed,Greater Geelong,Central
531,7028,CAT 4,Mount Erin Secondary College - Frankston Campus,Government,43 Robinsons Road,Frankston South,Frankston,Central
532,8828,CAT 4,Mount Rowan Secondary College - Mount Rowan Campus,Government,457 Forest Street,Wendouree,Ballarat,Central
533,1635,CAT 4,Mount St Joseph Girls' College,Catholic,133 Maidstone Street,Altona,Hobsons Bay,Central
534,1335,CAT 4,Moyhu Primary School,Government,2799 Wangaratta-Whitfield Road,Moyhu,Wangaratta,North East
535,1990,CAT 4,Mt Hira College,Independent,185 Perry Road,Keysborough,Greater Dandenong,Central
536,1126,CAT 4,Murchison Primary School,Government,8 - 10 Impey Street,Murchison,Greater Shepparton,Northern Country
537,3859,CAT 4,Murrabit Group School,Government,61 Browning Avenue,Murrabit,Gannawarra,Mallee
538,1549,CAT 4,Murtoa College,Government,Webb Street,Murtoa,Yarriambiack,Wimmera
539,487,CAT 4,Myrniong Primary School,Government,13 Muddy Lane,Myrniong,Moorabool,Central
540,8873,CAT 4,Myrtleford P-12 College,Government,Prince Street,Myrtleford,Alpine,North East
541,1589,CAT 4,Nagle College,Catholic,20 Hope Avenue,Bairnsdale,East Gippsland,East Gippsland
542,5395,CAT 4,Nambrok Denison Primary School,Government,947 Sale-Cowwarr Road,Nambrok,Wellington,West and South Gippsland
543,3708,CAT 4,Nanneella Estate Primary School,Government,159 Bennett Road,Nanneella,Campaspe,Northern Country
544,1072,CAT 4,Napoleons Primary School,Government,4721 Colac-Ballarat Road,Napoleons,Golden Plains,Central
545,5382,CAT 4,Narrawong District Primary School,Government,Princes Highway,Narrawong,Glenelg,South West
546,1548,CAT 4,Natimuk Primary School,Government,38 Old Noradjuha Road,Natimuk,Horsham,Wimmera
547,1812,CAT 4,Newhaven College - Main Campus,Independent,1770 Phillip Island Road,Rhyll,Bass Coast,Central
548,3053,CAT 4,Newhaven Primary School,Government,12-22 School Avenue,Newhaven,Bass Coast,Central
549,453,CAT 4,Newlyn Primary School,Government,2701 Midland Highway,Newlyn,Hepburn,Central
550,8833,CAT 4,Nhill College,Independent,Whitehead Avenue,Nhill,Hindmarsh,Wimmera
551,1754,CAT 4,Nhill Lutheran School,Independent,2 Mackay St,Nhill,Hindmarsh,Wimmera
552,8821,CAT 4,Lowanna College,Government,72-96 Newark Avenue,Newborough,Latrobe,West and South Gippsland
553,1178,CAT 4,Noorat Primary School,Government,MacKinnon's Bridge Road,Noorat,Corangamite,South West
554,1770,CAT 4,North-Eastern Montessori School - Plenty Valley International Montessori School,Independent,315 Aqueduct Road,St Helena,Banyule,Central
555,1652,CAT 4,Nullawarre and District Primary School,Government,132 Henry's Sawmill Road,Nullawarre,Moyne,South West
556,3401,CAT 4,Nyora Primary School,Government,Grundy Avenue,Nyora,South Gippsland,West and South Gippsland
557,2742,CAT 4,Officer Primary School,Government,13-23 Tivendale Rd,Officer,Cardinia,Central
558,8907,CAT 4,Officer Secondary College,Government,1 Parker Street,Officer,Cardinia,Central
559,5550,CAT 4,Officer Specialist School,Government,3 Parker Street,Officer,Cardinia,Central
560,4767,CAT 4,Orbost North Primary School,Government,Rupert St,Orbost,East Gippsland,East Gippsland
561,8215,CAT 4,Orbost Secondary College,Government,20 Arnold Street,Orbost,East Gippsland,East Gippsland
562,2218,CAT 4,Oscar Romero Catholic Primary School,Catholic,1 MacKillop Street,Craigieburn West,Hume,Central
563,1632,CAT 4,Our Lady Help of Christians School,Catholic,15 Munro Street,Murtoa,Yarriambiack,Wimmera
564,661,CAT 4,Our Lady of the Sacred Heart Primary,Catholic,32 Jeffrey Street,Elmore,Greater Bendigo,Northern Country
565,1908,CAT 4,Overnewton Anglican Community College - Keilor Main Campus,Independent,2-50 Overnewton Road,Keilor,Brimbank,Central
566,1792,CAT 4,Oxley Christian College,Independent,15 - 49 Old Melbourne Rd,Chirnside Park,Yarra Ranges,Central
567,1399,CAT 4,Oxley Primary School,Government,1050 Wangaratta-Whitfield Road,Oxley,Wangaratta,North East
568,5527,CAT 4,Pakenham Primary School,Government,50 Atlantic Drive,Pakenham,Cardinia,Central
569,1079,CAT 4,Panmure Primary School,Government,8759 Princes Highway,Panmure,Moyne,South West
570,4670,CAT 4,Newborough East Primary School,Government,300 Old Sale Road,Newborough,Latrobe,West and South Gippsland
571,486,CAT 4,Penshurst Primary School,Government,87 Ritchie Street,Penshurst,Southern Grampians,South West
572,2108,CAT 4,Phillip Island Village School,Independent,479 Berrys Beach Road,Ventnor,Bass Coast,Central
573,1826,CAT 4,Plenty Valley Christian College - Doreen Campus,Independent,840 Yan Yean Road,Doreen,Nillumbik,Central
574,6247,CAT 4,Port Fairy Consolidated School,Government,Albert Street,Port Fairy,Moyne,South West
575,5282,CAT 4,Portland Bay School,Government,77 Henty Street,Portland,Glenelg,South West
576,1194,CAT 4,Portland North Primary School ,Government,42 School Road,Portland North,Glenelg,South West
577,4750,CAT 4,Portland South Primary School,Government,133-141 Edgar Street,Portland,Glenelg,South West
578,1712,CAT 4,Pyramid Hill College,Government,101 Kelly Street,Pyramid Hill,Loddon,Northern Country
579,2959,CAT 4,Research Primary School,Government,1570 Main Road,Research,Nillumbik,Central
580,919,CAT 4,Rockbank Primary School,Government,97-105 Westcott Parade,Rockbank,Melton,Central
581,531,CAT 4,Rokewood Primary School,Government,38 Aitchison Street,Rokewood,Golden Plains,Central
582,770,CAT 4,Rosedale Primary School,Government,1-23 Cricket Street,Rosedale,Wellington,West and South Gippsland
583,1595,CAT 4,Rupanyup Primary School,Government,22 Dyer Street,Rupanyup,Yarriambiack,Wimmera
584,8300,CAT 4,Rutherglen High School,Government,40 Sheridans Bridge Road,Rutherglen,Indigo,North East
585,5175,CAT 4,Sale and District Specialist School,Government,333 Princes Highway,Sale,Wellington,West and South Gippsland
586,1299,CAT 4,Salesian College,Catholic,Rupertswood,Sunbury,Hume,Central
587,4974,CAT 4,Seaford North Primary School,Government,81 Hallifax Street,Seaford,Frankston,Central
588,1167,CAT 4,Sebastopol Primary School,Government,9 Warreen Street,Sebastopol,Ballarat,Central
589,1222,CAT 4,Skye Primary School,Government,395 Ballarto Road,Skye,Frankston,Central
590,1090,CAT 4,Sorrento Primary School,Government,32 Kerferd Avenue,Sorrento,Mornington Peninsula,Central
591,1859,CAT 4,St Anthony's School,Catholic,90 Kees Road,Lara,Greater Geelong,Central
592,1646,CAT 4,St Arnaud Primary School,Government,Charlton Road,St Arnaud,Northern Grampians,Wimmera
593,1779,CAT 4,St Augustine's Primary School,Catholic,Augustine's Way,Keilor,Brimbank,Central
594,192,CAT 4,St Augustine's School,Catholic,119 Napier Street,Creswick,Hepburn,Central
595,1808,CAT 4,St Augustine's School,Catholic,80 Golf Links Road,Frankston South,Frankston,Central
596,212,CAT 4,St Brendan's Primary School,Catholic,1 Ti Tree Road,Dunnstown,Moorabool,Central
597,1099,CAT 4,St Brendan's School,Catholic,727 Corangamite Lake Road,Coragulac,Colac-Otway,South West
598,1581,CAT 4,St Brendan's School,Catholic,Golf Links Road,Lakes Entrance,East Gippsland,East Gippsland
599,2067,CAT 4,St Brigid's School - Main Campus,Catholic,25 Bayview Road,Officer,Cardinia,Central
600,1015,CAT 4,St James School,Catholic,60 Nar Nar Goon Road,Nar Nar Goon,Cardinia,Central
601,1813,CAT 4,St John's Lutheran School,Independent,43-55 Trangmar Street,Portland,Glenelg,South West
602,1109,CAT 4,St John's School,Catholic,263 Russell Street,Dennington,Warrnambool,South West
603,595,CAT 4,St Joseph's College,Catholic,21 Dickson Street,Echuca,Campaspe,Northern Country
604,1532,CAT 4,St Joseph's School,Catholic,33 Lascelles Street,Hopetoun,Yarriambiack,Mallee
605,856,CAT 4,Toongabbie Primary School,Government,Victoria Street,Toongabbie,Latrobe,West and South Gippsland
606,2242,CAT 4,St Lawrence of Brindisi Catholic Primary School,Catholic,31 Waterway Boulevard ,WEIR VIEWS,Melton ,Central
607,1510,CAT 4,St Malachy's School,Catholic,34 Lake Street,Edenhope,West Wimmera,Wimmera
608,161,CAT 4,St Mary's College,Catholic,90 High Street,Seymour,Mitchell,North Central
609,139,CAT 4,St Mary's School,Catholic,5 Hope Avenue,Bairnsdale,East Gippsland,East Gippsland
610,1480,CAT 4,St Mary's School,Catholic,131 Powells Road,Clarkes Hill,Moorabool,Central
611,181,CAT 4,St Mary's School,Catholic,134 Woods Street,Donald,Buloke,Mallee
612,724,CAT 4,St Mary's School,Catholic,Hillier Lane,Hamilton,Southern Grampians,South West
613,368,CAT 4,St Mary's School,Catholic,High Street,Rutherglen,Indigo,North East
614,581,CAT 4,St Mary's School,Catholic,2-8 Campbell Street,Warracknabeal,Yarriambiack,Wimmera
615,1058,CAT 4,St Mary's School,Catholic,5 Buckley Street,Yarram,Wellington,West and South Gippsland
616,1524,CAT 4,St Michael's School,Catholic,Davis Street,Heyfield,Wellington,West and South Gippsland
617,187,CAT 4,St Patrick's School,Catholic,1564 Old Melbourne Road,Gordon,Moorabool,Central
618,1550,CAT 4,St Patrick's School,Catholic,5 Victoria Street,Pyramid Hill,Loddon,Northern Country
619,782,CAT 4,St Patrick's School,Catholic,55 Patrick Street,Stawell,Northern Grampians,Wimmera
620,1301,CAT 4,St Patrick's School,Catholic,2 Merrick Street,Stratford,Wellington,West and South Gippsland
621,1594,CAT 4,St Patrick's School,Catholic,Mangan Street,Tongala,Campaspe,Northern Country
622,1655,CAT 4,St Peter Julian Eymard,Catholic,Reay Road,Mooroolbark,Yarra Ranges,Central
623,1920,CAT 4,St Peter's College,Catholic,1005 Cranbourne-Frankston Road,Cranbourne West,Casey,Central
624,1901,CAT 4,St Therese School,Catholic,50 Grossmans Road,Torquay,Surf Coast,Central
625,1966,CAT 4,St Thomas Aquinas College,Independent,1 Tynong Road,Tynong,Cardinia,Central
626,1963,CAT 4,St Thomas Primary School,Catholic,1-7 Peninsula Drive,Drysdale,Greater Geelong,Central
627,3937,CAT 4,Stanhope Primary School,Government,48 Midland Highway,Stanhope,Campaspe,Northern Country
628,8731,CAT 4,Stawell Secondary College,Government,79-97 Patrick Street,Stawell,Northern Grampians,Wimmera
629,4934,CAT 4,Stawell West Primary School,Government,80-88 Cooper Street,Stawell,Northern Grampians,Wimmera
630,596,CAT 4,Stratford Primary School,Government,14 Wellsford Street,Stratford,Wellington,West and South Gippsland
631,2790,CAT 4,Strathmerton Primary School,Government,Findlay Street,Strathmerton,Moira,Northern Country
632,1365,CAT 4,Tallangatta Primary School,Government,1 Wonga Grove,Tallangatta,Towong,North East
633,8370,CAT 4,Tallangatta Secondary College,Government,145 Towong Street,Tallangatta,Towong,North East
634,3067,CAT 4,Tallygaroopna Primary School,Government,24-34 Victoria Street,Tallygaroopna,Greater Shepparton,Northern Country
635,196,CAT 4,Tarrington Lutheran School,Independent,7901 Hamilton Highway,Tarrington,Southern Grampians,South West
636,2065,CAT 4,Teesdale Primary School,Government,Main Road,Teesdale,Golden Plains,Central
637,6236,CAT 4,Terang College - 5-12 Campus,Government,45 Strong Street,Terang,Corangamite,South West
638,5221,CAT 4,Latrobe Special Developmental School,Government,Hickox Street,Traralgon,Latrobe,West and South Gippsland
639,2253,CAT 4,Toora Primary School,Government,5 Harriet Street,Toora,South Gippsland,West and South Gippsland
640,5556,CAT 4,Torquay Coast Primary School,Government,25 Stretton Drive,Torquay,Surf Coast,Central
641,1150,CAT 4,Trawalla Primary School,Government,11 Trawalla Road,Trawalla,Pyrenees,South West
642,2225,CAT 4,Tungamah Primary School,Government,15 -17 Tower Street,Tungamah,Moira,Northern Country
643,5403,CAT 4,Tyrrell College,Government,10 Sutcliff Street,Sea Lake,Buloke,Mallee
644,2230,CAT 4,Village High School,Independent,450 Dalyston-Glen Forbes Road,Ryanston,Bass Coast,Central
645,5202,CAT 4,Wallaroo Primary School,Government,Stalwart Avenue,Hastings,Mornington Peninsula,Central
646,2806,CAT 4,Walwa Primary School,Government,Murray River Road,Walwa,Towong,North East
647,1334,CAT 4,Warracknabeal Primary School,Government,5 Werrigar Street,Warracknabeal,Yarriambiack,Wimmera
648,8430,CAT 4,Warracknabeal Secondary College,Government,5 Werrigar Street,Warracknabeal,Yarriambiack,Wimmera
649,5291,CAT 4,Warracknabeal Special Developmental School,Government,5 Werrigar Street,Warracknabeal,Yarriambiack,Wimmera
650,1591,CAT 4,Warrenheip Primary School,Government,93 Warrenheip Road,Warrenheip,Ballarat,Central
651,5396,CAT 4,Welshpool and District Primary School,Government,5960 South Gippsland Highway,Welshpool,South Gippsland,West and South Gippsland
652,1916,CAT 4,White Hills Primary School,Government,16 Plumridge Street,White Hills,Greater Bendigo,Northern Country
653,2090,CAT 4,Whittlesea Primary School,Government,2425-2435 Plenty Road,Whittlesea,Whittlesea,Central
654,1373,CAT 4,Whorouly Primary School,Government,18 Church Street,Whorouly,Wangaratta,North East
655,2662,CAT 4,Willaura Primary School,Government,14 Warranooke Street,Willaura,Ararat,South West
656,3479,CAT 4,Willowmavin Primary School,Government,690 Willowmavin Road,Willowmavin,Mitchell,North Central
657,1870,CAT 4,Winton Primary School,Government,Fox Street,Winton,Benalla,North East
658,2064,CAT 4,Woodleigh School - Senior Campus,Independent,485 Golf Links Road,Langwarrin South,Frankston,Central
659,2239,CAT 4,Woodline Primary,Independent,405 Barrabool Road ,CERES,Greater Geelong,Central
660,8491,CAT 4,Woodmans Hill Secondary College,Government,1 Fussell Street,Ballarat East,Ballarat,Central
661,688,CAT 4,Woolsthorpe Primary School,Government,12 Manifold Street,Woolsthorpe,Moyne,South West
662,8831,CAT 4,Wycheproof P-12 College,Government,McKenzie Crescent,Wycheproof,Buloke,Mallee
663,956,CAT 4,Yarra Glen Primary School,Government,35 Symonds Street,Yarra Glen,Yarra Ranges,Central
664,8815,CAT 4,Yarra Hills Secondary College - Mooroolbark Campus,Government,16 Reay Road,Mooroolbark,Yarra Ranges,Central
665,8490,CAT 4,Yarram Secondary College,Government,86 James Street,Yarram,Wellington,West and South Gippsland
666,2419,CAT 4,Yinnar Primary School,Government,30 Main Street,Yinnar,Latrobe,West and South Gippsland
667,4359,CAT 4,Zeerust Primary School,Government,245 Zeerust Road,Zeerust,Greater Shepparton,Northern Country